GBO Fashion	http://gbofashion.com	//div[contains(@class,"post")]/h2/a	//div[contains(@class,"post")]/h1	//div[@class="entry"]	//div[contains(@class,"post")]//div[@class="date"]	//li[contains(@class, "comment")]	//a[@class="next page-numbers"]		
Looklab	http://stylejunkie.looklab.dk/	//a[@class="box"]	//h2[@class="post-title"]/a	//div[@class="entry"]	//ul[@id="metadata"]/li[1]	//ol/li	//li[@class="last"]		
Amalie Wessel	http://amaliewessel.dk/	//div[@class="headline"]/h2/a	//div[@class="headline"]/h1	//div[@class="entry-content"]	//div[@id="headline-time-div"]	//ol/li	//div[@class="pagination"]/a[last()]		
Closet Cravings	http://www.closetcravings.com/	//h2[@class="title"]	//h1[@class="title"]	//div[@class="content"]		//section[@id="conversation"]	//a[@class="nextpostslink"]		
STYLE'N	http://www.style-n-naina.com/	//h2[@class="title"]/a	//h2[@class="title"]/a	//div[@class="body"]	//span[@class="posted-on"]	//div[@id="comments"]	//span[@class="paginationControlNextPageSuffix"]	http://www.style-n-naina.com/stylen/	
ROCKNROLLERR	http://www.rocknrollerr.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]/p		//ol/li	PAGINATION ON SCROLL DOWN		
Virginie Peny	http://virginiepeny.com/	//div[@id="content"]/div/h3/a	//div[@class="post"]/h3	//div[@class="post"]/p	//div[@class="timestamp"]	NO COMMENTS	//div[@class="naviright"]/h4/a		
SKIP - navigation problems	http://www.elrincondemoda.com/								
SKIP - scroll down nav	http://www.amazedmag.de/								
PurseBlog	http://purseblog.com	//div[@class="post-meta-container"]/div/h2/a	//div[@class="post-meta-container"]/div/h1	//div[@class="post-body"]	//div[@class="post-meta-container"]/div//div[last()]/text()[2]	//ul[@id="post-list"]	//a[@class="nextpostslink"]		
SKIP - navigation problems	http://andreabadendyck.blogg.no								
Blonde Episodes	http://blondeepisodes.com	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-time"]	//ol/li	//div[contains(@class,"pagination-next")]/a		
Lela London	http://lelalondon.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//section[@id="conversation"]	//div[@class="nav-previous"]/a		
the beautiful things	http://the-beautiful-things.com	//h2[@class="bbw-postheader"]/a	//h2[@class="bbw-postheader"]	//div[@class="bbw-postcontent"]/p	//span[@class="entry-date"]	//div[@class="bbw-postcontent"]//div[contains(@class,"comment")]	//div[@class="alignleft"]/a		
5 Fitting Rooms	http://5fittingrooms.com/blog	//div[@class="entry-content"]/a	//h1[@class="entry-title"]/a	//div[@class="entry-content"]	//div[@class="date1"]	//section[@id="conversation"]	//div[@class="navig-link"]/a[last()]		
 Cath in the City	http://cathinthecity.com	//h2[@class="blogtitle"]/a	//div[contains(@id,"post")]/h2	//div[@class="entry"]		//ol/li	//div[@class="alignleft"]/a		
eat, sleep, denim blog	http://eatsleepdenim.com/blog	//div[contains(@id,"post")]/h3/a	//div[contains(@id,"post")]/h3	//div[contains(@class,"entry-content")]		//ul[@class="comment-block"]/li	//div[@class="blog-pager-older-link"]/a		
SKIP - unavailable	http://fashionwithoutguilt.com								
 Camilla Pihl	http://camillapihl.no	//div[contains(@id,"post")]/h2/a	//div[contains(@id,"post")]/h2/a	//div[@class="entry"]		//ol/li	//div[@class="alignleft"]/a		
Kastor and Pollux	http://bianca.kastorandpollux.com	//h2[@class="entry-title"]/a	//h2[@class="entry-title"]	//div[@class="entry-content"]	//abbr[contains(@class,"published")]	//ol/li	//div[@class="nav-previous"]/a	http://blog.kastorandpollux.com/	
The Teacher Diva	http://theteacherdiva.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"entry-content")]	//time[@class="published"]	//ol[@class="media-list"]/li	//div[@class="previous pull-left"]/a		
The Life Styled	http://thelifestyledblog.com	//div[@class="topofpost"]/h1/a	//div[@class="topofpost"]/h5	//div[@class="post"]	//div[@class="meta2"]	//ol[@class="commentlist"]/li	//div[@class="older"]/a		
They All Hate Us	http://theyallhateus.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//span[@class="entry-date"]	//ol[@class="commentlist"]/li	//a[@class="nextpostslink"]		
Lovely by Lucy	http://lovelybylucy.com	//div[@class="post-title"]/h3/a	//div[@class="post-title"]/h3	//div[@class="entry"]	//div[@class="post-date"]	//ol[@class="commentlist"]/li	//span[@class="old-entries"]/a		
Clamour For Glamour	http://clamour4glamour.looklab.dk	//h2[@class="post-title"]/a	//h2[@class="post-title"]/a	//div[@class="entry"]	//li[@class="firstItem"]	//ol[@class="commentlist"]/li	//li[@class="last"]/a		
The Beauty File	http://thebeautyfile.com	//h2[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[contains(@class,"post")]	//abbr[contains(@class,"published")]	//dl[@id="comment_list"]	//p[@class="previous"]/a		
Instant Vintage	http://innyvinny.com	//h1[@class="title"]/a	//h1[@class="title"]	//div[@class="the-content"]		//ul[@id="post-list"]	//div[@class="next-page"]/a		
SKIP - scroll down nav	http://whowhatwear.com								
Chouquette	http://chouquette.co.uk	//h1[@class="entry-title"]/a	//h1[@class="entry-title"]	//div[@class="entry-content"]	//time[@class="entry-date"]	//ol/li	//a[@class="next page-numbers"]		
Girl in the Lens	http://girlinthelens.com	//div[@class="post-headline"]/h2/a	//div[@class="post-headline"]/h1	//div[@class="post-bodycopy clearfix"]	//div[@class="post-byline"]	//ul[@class="commentlist"]/li	//div[@class="newer"]/a		
Twin Fashion	http://twinfashionblog.com	//h1[@class="post-title"]/a	//h1[@class="post-title"]/a	//div[contains(@class,"col sqs-col-12 span-12")]	//time[@class="published"]	//div[@class="comments-content"]	//nav[@class="pagination"]/a[last()]		
